"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
0,20,40,60,80,28.2843,44.7214,63.2456,82.4621,101.9804,100,101.9804,107.7033,116.619,128.0625,82.4621,89.4427,100,113.1371,128.0625
20,0,20,40,60,44.7214,56.5685,72.111,89.4427,107.7033,101.9804,100,101.9804,107.7033,116.619,63.2456,72.111,84.8528,100,116.619
40,20,0,20,40,63.2456,72.111,84.8528,100,116.619,107.7033,101.9804,100,101.9804,107.7033,44.7214,56.5685,72.111,89.4427,107.7033
60,40,20,0,20,82.4621,89.4427,100,113.1371,128.0625,116.619,107.7033,101.9804,100,101.9804,28.2843,44.7214,63.2456,82.4621,101.9804
80,60,40,20,0,101.9804,107.7033,116.619,128.0625,141.4214,128.0625,116.619,107.7033,101.9804,100,20,40,60,80,100
28.2843,44.7214,63.2456,82.4621,101.9804,0,20,40,60,80,82.4621,89.4427,100,113.1371,128.0625,100,101.9804,107.7033,116.619,128.0625
44.7214,56.5685,72.111,89.4427,107.7033,20,0,20,40,60,63.2456,72.111,84.8528,100,116.619,101.9804,100,101.9804,107.7033,116.619
63.2456,72.111,84.8528,100,116.619,40,20,0,20,40,44.7214,56.5685,72.111,89.4427,107.7033,107.7033,101.9804,100,101.9804,107.7033
82.4621,89.4427,100,113.1371,128.0625,60,40,20,0,20,28.2843,44.7214,63.2456,82.4621,101.9804,116.619,107.7033,101.9804,100,101.9804
101.9804,107.7033,116.619,128.0625,141.4214,80,60,40,20,0,20,40,60,80,100,128.0625,116.619,107.7033,101.9804,100
100,101.9804,107.7033,116.619,128.0625,82.4621,63.2456,44.7214,28.2843,20,0,20,40,60,80,113.1371,100,89.4427,82.4621,80
101.9804,100,101.9804,107.7033,116.619,89.4427,72.111,56.5685,44.7214,40,20,0,20,40,60,100,84.8528,72.111,63.2456,60
107.7033,101.9804,100,101.9804,107.7033,100,84.8528,72.111,63.2456,60,40,20,0,20,40,89.4427,72.111,56.5685,44.7214,40
116.619,107.7033,101.9804,100,101.9804,113.1371,100,89.4427,82.4621,80,60,40,20,0,20,82.4621,63.2456,44.7214,28.2843,20
128.0625,116.619,107.7033,101.9804,100,128.0625,116.619,107.7033,101.9804,100,80,60,40,20,0,80,60,40,20,0
82.4621,63.2456,44.7214,28.2843,20,100,101.9804,107.7033,116.619,128.0625,113.1371,100,89.4427,82.4621,80,0,20,40,60,80
89.4427,72.111,56.5685,44.7214,40,101.9804,100,101.9804,107.7033,116.619,100,84.8528,72.111,63.2456,60,20,0,20,40,60
100,84.8528,72.111,63.2456,60,107.7033,101.9804,100,101.9804,107.7033,89.4427,72.111,56.5685,44.7214,40,40,20,0,20,40
113.1371,100,89.4427,82.4621,80,116.619,107.7033,101.9804,100,101.9804,82.4621,63.2456,44.7214,28.2843,20,60,40,20,0,20
128.0625,116.619,107.7033,101.9804,100,128.0625,116.619,107.7033,101.9804,100,80,60,40,20,0,80,60,40,20,0
